"install";"parameter";"id";"uninstall";"manager";"Description";"Name";"as";"publisher";"dependency"
"";"";"7zip.7zip";"";"winget";"";"";"";"";""
"";"";"Microsoft.VisualStudioCode";"";"winget";"";"";"";"";""
